year,disaster type,disaster subsubtype,occurrence,Total deaths,Affected,Injured,Homeless,Total affected,Total damage,disaster subtype
1995,Extreme temperature ,--,2,710,0,0,0,0,0,Cold wave
1995,Flood,--,6,19,115300,0,0,115300,3245000,Heat wave
1995,Storm,--,8,142,84000,100,2000,86100,10645000,--
1995,Storm,Tornado,2,8,0,60,0,60,3000000,Riverine flood
1996,Flood,--,4,72,243115,0,0,243115,2720000,--
1996,Storm,--,2,39,4000,0,0,4000,3400000,Convective storm
1996,Storm,Severe storm,2,12,0,24,0,24,0,Tropical cyclone
1996,Storm,Tornado,2,25,0,107,0,107,0,Riverine flood
1996,Storm,Winter storm/Blizzard,3,211,0,0,0,0,0,--
1996,Wildfire,--,2,1,0,50,0,50,8500,Convective storm
1997,Flood,--,8,72,190950,24,400,191374,7345000,Tropical cyclone
1997,Storm,--,7,16,570,30,0,600,150000,Forest fire
1997,Storm,Hail,1,28,600,0,0,600,180000,"Land fire (Brush, Bush, Pastur"
1997,Storm,Lightning,2,21,0,0,0,0,150000,--
1997,Storm,Severe storm,1,0,0,0,0,0,0,Riverine flood
1997,Storm,Tornado,10,75,3500,168,0,3668,1260000,--
1997,Storm,Winter storm/Blizzard,2,40,0,24,0,24,502000,Convective storm
1997,Wildfire,--,2,0,1000,0,0,1000,2500,Tropical cyclone
1998,Extreme temperature ,--,1,130,0,0,0,0,4275000,Forest fire
1998,Flood,--,7,31,32000,0,5000,37000,1062000,Heat wave
1998,Storm,--,10,68,143553,25,519,144097,6527450,--
1998,Storm,Hail,5,63,5000,346,600,5946,3263500,Flash flood
1998,Storm,Lightning,1,0,2200,0,0,2200,0,Riverine flood
1998,Storm,Tornado,3,65,794,124,460,1378,262500,--
1998,Storm,Winter storm/Blizzard,1,7,0,0,0,0,0,Convective storm
1998,Wildfire,--,4,2,41032,124,65,41221,281100,Tropical cyclone
1999,Drought,--,1,0,0,0,0,0,1100000,"Land fire (Brush, Bush, Pastur"
1999,Extreme temperature ,--,1,257,0,0,0,0,1000000,Drought
1999,Flood,--,1,0,100,0,0,100,300,Heat wave
1999,Storm,--,6,85,3045000,10,40,3045050,7432500,--
1999,Storm,Hail,1,9,1200,42,0,1242,450000,--
1999,Storm,Lightning,2,3,900,47,150,1097,300500,Convective storm
1999,Storm,Tornado,6,82,3851,830,6800,11481,3417500,Tropical cyclone
1999,Storm,Winter storm/Blizzard,1,48,0,0,0,0,1000000,Forest fire
1999,Wildfire,--,3,1,800,0,219,1019,92000,"Land fire (Brush, Bush, Pastur"
2000,Drought,--,2,0,0,0,0,0,1100000,Drought
2000,Earthquake,--,1,0,25000,70,104,25174,50000,Ground movement
2000,Extreme temperature ,--,1,35,0,0,0,0,0,Heat wave
2000,Flood,--,8,8,1646,0,2000,3646,286000,--
2000,Storm,--,3,18,14418,75,3015,17508,1069000,Flash flood
2000,Storm,Severe storm,1,0,0,0,0,0,0,Riverine flood
2000,Storm,Tornado,6,30,4800,242,570,5612,786600,--
2000,Storm,Winter storm/Blizzard,1,0,0,0,0,0,0,Convective storm
2000,Wildfire,--,7,14,35400,2,685,36087,2500000,Forest fire
2001,Earthquake,--,1,1,0,400,0,400,2000000,Ground movement
2001,Extreme temperature ,--,1,56,0,0,0,0,0,Heat wave
2001,Flood,--,5,12,19300,0,4500,23800,33000,--
2001,Storm,--,4,54,102220,2,70200,172422,6000000,Riverine flood
2001,Storm,Tornado,12,17,7184,149,1198,8531,328800,--
2001,Storm,Winter storm/Blizzard,1,11,0,100,0,100,0,Convective storm
2001,Wildfire,--,3,2,129,10,0,139,0,Tropical cyclone
2002,Drought,--,1,0,0,0,0,0,3300000,Forest fire
2002,Epidemic,--,2,214,3624,0,0,3624,0,Drought
2002,Extreme temperature ,--,1,14,0,0,0,0,0,--
2002,Flood,--,4,26,145750,0,0,145750,1013000,Viral disease
2002,Storm,--,6,49,13950,51,0,14001,2900500,Heat wave
2002,Storm,Tornado,5,198,4200,351,432,4983,2924000,Riverine flood
2002,Storm,Winter storm/Blizzard,4,92,0,0,0,0,450500,--
2002,Wildfire,--,8,0,3500,11,2977,6488,232100,Convective storm
2003,Earthquake,--,1,2,0,40,120,160,200000,Tropical cyclone
2003,Epidemic,--,1,0,29,0,0,29,0,Forest fire
2003,Flood,--,4,24,3200,0,0,3200,123000,"Land fire (Brush, Bush, Pastur"
2003,Landslide,Mudslide,1,15,0,15,0,15,0,Ground movement
2003,Storm,--,5,45,226225,22,0,226247,5920000,Viral disease
2003,Storm,Tornado,4,51,1650,345,15231,17226,9000000,Flash flood
2003,Storm,Winter storm/Blizzard,3,60,120,0,0,120,233600,Riverine flood
2003,Volcanic activity,--,1,0,0,0,0,0,0,Landslide
2003,Wildfire,--,3,18,27000,144,750,27894,3500000,--
2004,Extreme temperature ,--,1,3,0,0,0,0,0,Convective storm
2004,Flood,--,4,1,5340,0,0,5340,505500,Tropical cyclone
2004,Storm,--,7,178,5070000,0,0,5070000,53062500,Ash fall
2004,Storm,Hail,2,13,300,51,0,351,1100000,Forest fire
2004,Storm,Lightning,3,19,7210,6,408,7624,715000,Cold wave
2004,Storm,Tornado,3,5,1674,0,345,2019,309000,Riverine flood
2004,Wildfire,--,3,0,15200,5,282,15487,0,--
2005,Extreme temperature ,--,1,33,0,31,0,31,0,Convective storm
2005,Flood,--,6,53,18250,8,0,18258,730330,Tropical cyclone
2005,Storm,--,4,1852,830000,0,0,830000,157530000,Forest fire
2005,Storm,Lightning,1,0,45,8,51,104,350000,Heat wave
2005,Storm,Tornado,1,0,120,0,81,201,0,Flash flood
2005,Storm,Winter storm/Blizzard,2,30,0,0,0,0,350000,Riverine flood
